type_of_thing,name,description,status,logo,category,annexure_category,product,code,product_sub_category,commit_price_inr,commit_price_usd,commit_price_uae,commit_price_uk,flex_price_inr,flex_price_usd,flex_price_uae,flex_price_uk,cust_quote_price,discount_by_google,discount_final,google_discount_pu_1,google_discount_pu_2,price_partner_discount,reseller_margin,product_description,price_manually,profit
Product Sub Category V2,Google Workspace Business Plus,,Active,https://775f71e9b5a07e8e979ee5d4a39f4182.cdn.bubble.io/f1780395132015x931512874295711100/OIP%20%2853%29.jpg,Google Workspace Business,Annexure A,product,Code-114340,Google Workspace Business,20400,264,969.54,195.88,2050,26.4,96.95,19.59,,,,,,,,,no,
Product Sub Category V2,Google Workspace Business Starter,,Active,https://775f71e9b5a07e8e979ee5d4a39f4182.cdn.bubble.io/f1780395132015x931512874295711100/OIP%20%2853%29.jpg,Google Workspace Business,Annexure A,product,Code-190767,Google Workspace Business,3240,84,308.49,62.33,325,8.4,30.85,6.23,,,,,,,,,no,
Product Sub Category V2,Google Workspace Business Standard,,Active,https://775f71e9b5a07e8e979ee5d4a39f4182.cdn.bubble.io/f1780395132015x931512874295711100/OIP%20%2853%29.jpg,Google Workspace Business,Annexure A,product,Code-593115,Google Workspace Business,12960,168,616.98,124.65,1300,16.8,61.7,12.47,,,,,,,,,no,
Product Sub Category V2,Google Workspace Enterprise Starter,,Active,https://775f71e9b5a07e8e979ee5d4a39f4182.cdn.bubble.io/f1780395132015x931512874295711100/OIP%20%2853%29.jpg,Google Workspace Enterprise,Annexure A,product,Code-652491,Google Workspace Enterprise,9960,132,484.77,97.94,1000,13.2,48.48,9.79,,,,,,,,,no,
Product Sub Category V2,Google Workspace Enterprise Standard,,Active,https://775f71e9b5a07e8e979ee5d4a39f4182.cdn.bubble.io/f1780395132015x931512874295711100/OIP%20%2853%29.jpg,Google Workspace Enterprise,Annexure A,product,Code-656881,Google Workspace Enterprise,24600,324,1189.89,240.4,2450,32.4,118.99,24.04,,,,,,,,,no,
Product Sub Category V2,Google Workspace Enterprise Essentials,,Active,https://775f71e9b5a07e8e979ee5d4a39f4182.cdn.bubble.io/f1780395132015x931512874295711100/OIP%20%2853%29.jpg,Google Workspace Enterprise,Annexure A,product,Code-684490,Google Workspace Enterprise,9120,120,440.7,89.04,912,12,44.07,8.9,,,,,,,,,no,
Product Sub Category V2,Google Workspace Enterprise Plus,,Active,https://775f71e9b5a07e8e979ee5d4a39f4182.cdn.bubble.io/f1780395132015x931512874295711100/OIP%20%2853%29.jpg,Google Workspace Enterprise,Annexure A,product,Code-665244,Google Workspace Enterprise,31800,420,1542.45,311.63,3200,42,154.25,31.16,,,,,,,,,no,
Product Sub Category V2,Google Workspace Enterprise Essentials Plus,,Active,https://775f71e9b5a07e8e979ee5d4a39f4182.cdn.bubble.io/f1780395132015x931512874295711100/OIP%20%2853%29.jpg,Google Workspace Enterprise,Annexure A,product,Code-603101,Google Workspace Enterprise,18240,240,881.4,178.08,1824,24,88.14,17.81,,,,,,,,,no,
Product Sub Category V2,Google Workspace Frontline Starter,,Active,https://775f71e9b5a07e8e979ee5d4a39f4182.cdn.bubble.io/f1780395132015x931512874295711100/OIP%20%2853%29.jpg,Google Workspace Frontline,Annexure A,product,Code-993271,Google Workspace Frontline,4560,60,220.35,44.52,456,6,22.04,4.45,,,,,,,,,no,
Product Sub Category V2,Google Workspace Frontline Standard,,Active,https://775f71e9b5a07e8e979ee5d4a39f4182.cdn.bubble.io/f1780395132015x931512874295711100/OIP%20%2853%29.jpg,Google Workspace Frontline,Annexure A,product,Code-061149,Google Workspace Frontline,11040,144,528.84,106.85,1104,14.4,52.88,10.68,,,,,,,,,no,
Product Sub Category V2,Google Workspace for Education: Teaching and Learning Upgrade,,Active,https://775f71e9b5a07e8e979ee5d4a39f4182.cdn.bubble.io/f1780395132015x931512874295711100/OIP%20%2853%29.jpg,Google Workspace for Education,Annexure A,product,Code-798608,Google Workspace for Education,3000,0,0,0,300,0,0,0,,,,,,,,,no,
Product Sub Category V2,Google Workspace for Education Plus (Staff),,Active,https://775f71e9b5a07e8e979ee5d4a39f4182.cdn.bubble.io/f1780395132015x931512874295711100/OIP%20%2853%29.jpg,Google Workspace for Education,Annexure A,product,Code-779062,Google Workspace for Education,0,0,0,0,0,0,0,0,,,,,,,,,no,
Product Sub Category V2,Google Workspace for Education: Teaching and Learning Add-on,,Active,https://775f71e9b5a07e8e979ee5d4a39f4182.cdn.bubble.io/f1780395132015x931512874295711100/OIP%20%2853%29.jpg,Google Workspace for Education,Annexure A,product,Code-212597,Google Workspace for Education,0,0,0,0,0,0,0,0,,,,,,,,,no,
Product Sub Category V2,Education Google AI Pro for Education,,Active,https://775f71e9b5a07e8e979ee5d4a39f4182.cdn.bubble.io/f1780395132015x931512874295711100/OIP%20%2853%29.jpg,Google Workspace for Education,Annexure A,product,Code-783478,Google Workspace for Education,18240,0,0,0,0,0,0,0,,,,,,,,,no,
Product Sub Category V2,Google Workspace for Education Plus,,Active,https://775f71e9b5a07e8e979ee5d4a39f4182.cdn.bubble.io/f1780395132015x931512874295711100/OIP%20%2853%29.jpg,Google Workspace for Education,Annexure A,product,Code-045989,Google Workspace for Education,4500,0,0,0,458,0,0,0,,,,,,,,,no,
